theme	card_id	ru	draft_ce	current_reading_hint	current_status	risk_note	decision	corrected_ce	reading_hint	new_status	reviewer_comment
greetings	greetings-01	здравствуйте	Маршалла хуьлда	Ожидает проверки	needs_native_review	Источник: Chechnya Info. Проверить уместность как первой карточки A0.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
greetings	greetings-02	доброе утро	Ӏуьйре дика хуьлда	Ожидает проверки	needs_native_review	Источник: Chechnya Info. Проверить символ Ӏ и регистр.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ, регистр и подсказку чтения.
greetings	greetings-03	добрый день	Де дика хуьлда	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
greetings	greetings-04	добрый вечер	Суьйре дика хуьлда	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
greetings	greetings-05	спокойной ночи	Буьйса декъал хуьлда	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
greetings	greetings-06	спасибо	Баркалла	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
greetings	greetings-07	до свидания	Марша Ӏайла	Ожидает проверки	needs_native_review	Источник: Chechnya Info. Проверить символ Ӏ.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ и подсказку чтения.
greetings	greetings-08	хорошо	Дика ду	Ожидает проверки	needs_native_review	Заменено на короткий ответ, потому что описание темы включает короткие ответы.	fix	Дика ду		needs_native_review	Self-review: исправлено с `Ниса` на `Дика ду` для русского `хорошо`.
family	family-01	семья	Доьзал	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
family	family-02	отец	Да	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
